Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
"Develop, Grow, Launch, and Support Your ERG","Diversity and inclusion initiatives are on the rise in organizations around the globe. But now that programs and plans are underway, how can you maximize the effectiveness of your efforts? One of the most popular and most easily implemented DEI support tools are ERGs—employee resource groups. ERGs are the most popular and effective way for your workforce to support itself. They can be cost-effective and offer big wins to support your staff. In this course, Dereca Blackmon shows you how to make the case for ERGs and get buy-in from your colleagues, sponsors, and mentors. She shows you how to create and implement strong ERG, providing step-by-step instructions on building the infrastructure, designing and implementing programs, and leveraging existing resources that are already within your company. Finally, Dereca explains how to avoid common ERG pitfalls like burnout, inconsistent interest, and lack of organizational support.",Course,2023-06-21 16:30 UTC,N/A,false,N/A,
Introduction to AI-Native Vector Databases,"The primary purpose of vector databases is to provide fast and accurate similarity search or nearest neighbor search capabilities. The integration of AI techniques in vector databases enhances their capabilities, improves search accuracy, optimizes performance, and enables more intelligent and efficient management of high-dimensional data. In this course, Zain Hasan introduces this foundational technology—which is already being used in industries like ecommerce, social media, and more. Zain covers everything from foundational concepts around AI-first vector databases to hands-on coding labs for question answering using LLMs.",Course,2024-11-21 06:23 UTC,N/A,false,N/A,
How to Advocate for Yourself in Your Job Search and Career,"<p>Advocating for yourself in the workplace can be scary. Many people struggle with talking about and defending themselves. They might fear appearing boastful, worry about potential backlash, or feel uncertain about the best possible approach. However, advocating for yourself at work is not an option—it's a vital skill, and it can transform your career.</p><p>Join Rob Kim—a LinkedIn Top Voice and career educator who helps people overcome barriers and communicate more effectively at work—as he sits down to talk with LinkedIn News Editor Andrew Seaman on the podcast <i>Get Hired</i>. Learn how to advocate for yourself in your job search and career, as well as why it’s so important to identify and showcase your accomplishments, and speak about them openly so others can advocate for you, too. Along the way, Rob shares easy-to-use tips on everything from building networking strategies and nailing performance reviews to curating praise files and gathering leadership advice.</p>",Course,2024-11-10 20:55 UTC,N/A,false,N/A,
Predictive Analytics Essential Training: Data Mining,"Are you a data science practitioner, looking to develop or enhance your skills in predictive analysis and data mining? This course provides several “big picture” insights, via instructor Keith McCormick, a veteran practitioner who has completed dozens of real-world projects. Keith begins by introducing you to key definitions and processes that you will need to complete the course successfully. He steps you through defining the problem you need your predictive analysis to address, then focuses on how to make sure you meet the data requirements and how good data preparation improves your data mining projects.  Keith dives into the skill sets and resources that you need and the problems you will face. Then he goes over the steps to find the solution and put it to work with probabilities, propensities, missing data, meta modeling, and much more. Keith finishes up with detailed explanations of CRISP-DM and Tom Khabaza’s nine laws of data mining, plus Tom’s new 10th law.",Course,2021-11-05 22:07 UTC,N/A,false,N/A,
Creating a Communications Strategy,"A communications strategy is the backbone of any good marketing or communications program. It provides a focus, with a clear goal and roadmap for how to best get your message to your target audience, and ensures that your messages are memorable and move people to action. Learning how to craft a communications strategy can help you to be a masterful communicator. In this course, discover ways to identify your audience, build a communications strategy, measure your results, and adjust to feedback. Find out how to break through the noise and connect with your audience clearly reliably and how to respond with consistency when crisis hits.",Course,2021-02-16 18:11 UTC,N/A,false,N/A,
Nano Tips for Resolving Conflict with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to deal with difficult situations and resolve conflict like a seasoned pro, following advice and practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn the secrets of dealing with difficult people using empathy, active listening, and proven techniques for managing interruptions. Discover the skills you need to know to diffuse strong emotions and encourage behavioral growth with Shadé ‘s three-part conflict resolution framework. Along the way, get tips for de-escalating conflict by building trust, calling out the core issue, and reflecting coolly to foster mutual understanding. By the end of this course, you’ll be equipped with new, constructive, dialogical tools for driving engagement toward a lasting resolution.</p>",Course,2024-12-01 19:32 UTC,N/A,false,N/A,
Find Your Passion: How Padma Lakshmi Found Hers,"Throughout Padma Lakshmi's impressive career, she has assumed a range of roles, including model, author, and executive producer of an Emmy award-winning show: <i>Top Chef</i>. In this course, Padma digs into the life and career experiences that helped her find success. Along the way, she shares practical strategies that can help professionals of all stripes find their unique place in the world, face their fears, and seize the opportunities that come their way. Tune in to get Padma's advice for young women on how to land their dream job, as well as her thoughts on the importance of giving back to your community—both by helping to eradicate inequality and by being vulnerable about your own challenges. Plus, she shares her take on why it's essential to nurture your own health and passions throughout your journey.",Course,2021-02-04 13:40 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.",Course,2021-03-07 20:03 UTC,N/A,false,N/A,
How to Become a Purpose-Driven Journalist,"Norah O’Donnell's determination, passion, and aptitude for breaking down complex issues helped her ascend in the competitive (and traditionally male-dominated) world of political journalism. In 2019, she became the anchor of the <i>CBS Evening News</i>—only the second woman to ever hold that role—as well as the managing editor. In this course, Norah shares what she's learned about how to cultivate a successful career in journalism without compromising your values. She provides her insider perspective on the current climate for reporters and broadcasters, highlighting what it means to be a woman in journalism today. Using examples from her own career, she explains how to find your voice as a journalist and details why empathy, generosity, and trust are essential to the development of great news stories. Plus, get Norah's perspective on how to balance family life with career demands and which personal qualities you need to possess to achieve success.",Course,2023-05-11 06:57 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2021-05-03 12:54 UTC,N/A,false,N/A,
Engineering Drawings for Manufacturing,"Preparing clear, complete engineering drawings is a critical skill for nearly every design engineer. New engineers have traditionally had to learn drafting skills on the job, usually by trial and error. This course teaches the practical skills needed to independently prepare clear drawings that satisfy industry standards. For the learner, this course can increase marketability and reduce frustration during the first months of a new career. For the employer, this course can reduce the time required to train new engineers and decrease the potential for costly mistakes due to poor drawings.<br><br>

Join the engineering team from Tarkka for this hands-on look at creating engineering drawings for manufacturing, from preparing your template and selecting the right drawing type to choosing and placing views, specifying dimensions, and setting tolerances. By the end of this course, you'll have the skills to create clear, complete drawings that hold up to the most exacting standards.<br><br>

This course was created by Tarkka. We are pleased to offer this training in our library.",Course,2021-07-22 15:33 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2020-12-23 22:49 UTC,N/A,false,N/A,
Learning Design Thinking,"Learn how to take a human-centered approach to design by exploring the methodology known as design thinking. In this course, Randall Elliott explains how design thinking is used to empathize, define, ideate, prototype, test, and refine. He covers what the purpose of each phase is and how to apply it to your planning and design processes. He also shares examples and practical uses of the underlying concepts. By the end of this course, you will be equipped with methods you can implement to uncover the needs of your customers, define findings, derive insights, and create innovative solutions.",Course,2023-04-14 17:54 UTC,N/A,false,N/A,
Revit: AR and VR Workflows,"Getting consistent results in virtual reality means keeping best practices in mind all the way through the development process. In this course, learn why virtual reality and augmented reality are good for business; which tools to use when incorporating immersive technology in your architecture, engineering, or construction practice; and how to create files in Revit that translate through to VR with predictable outcomes. As he shares how to effectively incorporate VR and AR into your practice, instructor Logan Smith details best practices for using your Revit model with VR and AR. Learn how to leverage tools such as Enscape and the Argyle app, how to efficiently create and populate materials in a project, and how to leverage 3D shortcuts to work faster and smarter in Revit.",Course,2022-06-01 12:22 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth (2020),"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2021-02-23 14:21 UTC,N/A,false,N/A,
Organizational Learning and Development,"<p>If you want to attract and retain top talent, you need to provide results-driven opportunities for your employees to learn and grow. Learning and development (L&D) programs have become a critical talent management tool for many organizations, helping leaders, managers, and recruiters build their talent pipelines by curating the conditions for learning success.</p><p>In this course, industry leader and skills strategist Gina Jeneroux shows you how to take a more disciplined view of learning measurement at your organization to meet the learning needs of today’s ever-changing workplace. Learn how to manage the business of learning by adopting the perspective of a strategic enabler, upskilling your employees for today and tomorrow, following best practices for effective learning, and developing your technology and data ecosystem more deliberately using the power of the SkillsEngine.</p>",Course,2024-10-20 19:15 UTC,N/A,false,N/A,
Python Object-Oriented Programming (2020),"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2020-11-23 18:37 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2023-06-08 14:23 UTC,N/A,false,N/A,
"Advanced Go Programming: Data Structures, Code Architecture, and Testing","Looking to advance your skills in Go, the popular open-source programming language? Join instructor Adelina Simion in this hands-on, interactive, skills-first coding course designed uniquely for intermediate- to advanced-level Go developers. Discover practical tips and techniques used by expert programmers to boost your technical know-how or prepare for an interview to land a new role in your field. This course includes Code Challenges powered by CoderPad: interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Adelina helps you develop your skills as a Go programmer with four specific, query-focused coding challenges. Practice using common data structures, streams, robust code, and dynamic programming.",Course,2024-11-10 04:37 UTC,N/A,false,N/A,
Preparing for an Audit,"The success of an audit is measured solely by the opinion of an independent auditor. But preparing the paperwork, people, and processes to support an audit is also crucial to ensure it runs smoothly. In this course, financial expert Jason Schenker explains how preparation, transparency, project management, communication, and feedback integration are critical elements of audit success. He introduces a big picture view of an independent audit, the laws and regulations governing the process, and that data you need to gather to make sure everything runs smoothly. Company leaders and staff alike can use this course to understand the value of the audit, the information that is important to share, the roles people play in the process, and what to do with auditor feedback once the audit is complete.<br><br>

This course was created by Jason Schenker. We are pleased to host this training in our library.",Course,2024-06-13 20:28 UTC,N/A,false,N/A,
JavaScript Practice: Object-Oriented Programming,"Unlike class-based programming languages like Java, JavaScript is a prototype-based procedural language. This means it supports functional <em>and</em> object-oriented programming—with less rigid syntax, greater extensibility, and fewer rules. In this hands-on, interactive course, join instructor Emma Bostian to practice performing basic object-oriented programming tasks in JavaScript to boost your technical know-how, prepare for an interview, or land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Emma helps you boost your skills as a JavaScript programmer with five specific, query-focused coding challenges. Practice creating a course roster with functions, a book function with Object.create(), a country with classes, a food ordering class with getters and setters, and a user/admin class with private properties.",Course,2024-04-15 18:25 UTC,N/A,false,N/A,
ISO 27001:2013-Compliant Cybersecurity: Getting Started,"If you’re an information security manager, your day-to-day work life depends on meeting recognized standards of practice. In this new two-part course, instructor Marc Menninger takes a closer look at what the ISO 27001 standard is and why it’s used around the world to build information security programs that work.<br><br>Discover why the ISO 27001 standard is one of the most popular frameworks for building effective cybersecurity programs. Learn what it takes to comply with and become certified as compliant with the standard. Find out how the standard is organized, get a description of the certification process, and explore an easy-to-follow, step-by-step plan for building a cybersecurity program that’s ISO 27001-compliant as defined by clauses four through ten. Along the way, Marc gives you handy reference documents and checklists that you can use to retain what you learn and track your compliance progress.",Course,2023-01-03 19:36 UTC,N/A,false,N/A,
NX: Class A Surfacing,"Class A surface modelers are called digital sculptors for a reason: the Class A surface represents the absolute peak of styling for freeform surfaces. For this reason, the class A technique is used to design automobiles, high-end products like mobile phones, and aerospace craft, where the shapes must be of the highest quality. This course introduces the concepts behind Class A surfacing, including an explanation of key terms and their roots in shipbuilding history. You also learn the fundamentals of Class A surfacing design—from deriving curves to creating mesh surfaces—and find out how to implement these techniques in Siemens NX, a high-end CAD platform. Instructor Steven Marjieh also shows how to assemble the final form, and perform an analysis to ensure your designs meet the original engineering and styling intents.",Course,2021-08-20 13:50 UTC,N/A,false,N/A,
High-Stakes Communication,"Imagine you’re in a room with a group of stakeholders, each of whom has the power to alter the course of your professional life. If you impress them, they’ll fund your project and champion you as a leader. If you falter, you’ll exit the room with a tarnished reputation. Are you prepared to handle a moment like this, even when it is unexpected? How do you set yourself up for success when so much is on the line? In this course, Jenna Lange shares techniques that can help you manage your message, your mindset, and your stakeholders when the stakes are high. Learn how to build concise, effective messages, manage your body language, avoid common pitfalls, and more. Along the way, Jenna shares case studies and surprising personal experiences that lend a real-world context to each concept.",Course,2022-01-04 12:00 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2819030,Course,2021-01-09 18:16 UTC,N/A,false,N/A,
Building Blocks for Deep Learning in the Wolfram Language,"This course explores how to construct neural networks in the Wolfram Language. The Wolfram Language neural network framework provides symbolic building blocks to build, train, and tune a network, as well as automatically process input and output using encoders and decoders. Discover how to build feed-forward networks, and learn about recurrent neural nets and why they are interesting.",Course,2024-10-17 05:35 UTC,N/A,false,N/A,
"Synthetic Data as the Future of AI Privacy, Explainability, and Fairness: An Introduction for Data Scientists and Data Executives","<p>The European Commission’s JRC sees synthetic data as “the key enabler for artificial intelligence,” and analyst firm Gartner predicts that, by 2024, 60% of all AI training data will be synthetic—yet many data and AI professionals are not yet familiar with this privacy-enhancing technology. In this course, synthetic data and privacy expert Alexandra Ebert teaches you the fundamentals of AI-generated synthetic data. Learn how synthetic data can help you stay in compliance with privacy laws. Find out what AI-generated synthetic data is and go over its benefits and limitations. Explore how synthetic data can support your organization’s strategic objectives. Dive into ways to assess synthetic data’s quality and discover best practices for getting started with synthetic data and introducing it within your organization. Plus, learn about different ways synthetic data is used, particularly in the context of Responsible AI or Ethical AI.</p>",Course,2024-08-08 17:24 UTC,N/A,false,N/A,
Managing Up as an Employee,"Establishing a good working relationship with your manager is one of the most effective ways to accelerate success in your organization. In this course, get strategies for managing up, whether you're collaborating with your boss in a remote environment or a physical office. Join Mary Abbajay—the best-selling author of <i>Managing Up: How to Move Up, Win at Work, and Succeed with Any Type of Boss</i>—as she provides practical strategies for working with a range of different personalities. Because working well with others requires us to understand how people operate, Mary steps through how to recognize (and accept) the different types of bosses you may encounter. Learn how to manage the extroverted (or introverted) boss, the micromanager, the workaholic boss, and more. Plus, discover what you can do to combat the ill effects of a toxic boss. Whether the person above you is a middle manager or a top executive, this course can provide you with the tools you need to set yourself up for success.",Course,2021-01-13 17:17 UTC,N/A,false,N/A,
JavaScript Essential Training,"<p>JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,2024-04-14 14:18 UTC,N/A,false,N/A,
Better Relationships and More Sales: Using ChatGPT to Sell,"<p>This course is designed to help sales professionals leverage the power of AI to foster meaningful connections, demonstrate credible expertise, and engage in—as well as sustain—more relevant, profitable conversations.</p><p>Join sales expert Jake Dunlap as he outlines the best strategies to build rapport in a digital-first world. Learn how to create tailored outreach backed by industry and company intel, progress complex opportunities by mapping out workflows to each sales contact, and structure AI-powered, data-driven expansion plans for both new and existing accounts. Whether you're at an early or late stage in your sales relationship, by the end of this course, you’ll be equipped with the skills to strengthen engagement by focusing on client needs.</p>",Course,2024-10-13 14:33 UTC,N/A,false,N/A,
Nano Tips to Think Faster and Make Better Decisions with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to think faster and make better decisions with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Gather insights to start building a stronger, more effective decision-making foundation—simplifying more complex decisions, maximizing willpower, optimizing your schedule, and preparing for decisions before you even make them. Learn how to deploy a handful of easy-to-use strategies to create a more empowering decision-making experience, such as delaying your response, using a decision matrix, avoiding flawed conclusions, and more. Along the way, Shadé shows you how to prevent framing bias, apply critical thinking to make more informed judgments, and prioritize what matters most.</p>",Course,2024-12-10 16:23 UTC,N/A,false,N/A,
Diverse Talent in Recruiting and Hiring,"Workplace diversity and inclusion is a key priority area for organizations large and small. Hiring managers need to be able to locate, hire, and onboard diverse candidates in order to succeed. This course is a guide that can help you develop a diversity hiring strategy, increase your candidate pool, and remove bias from your screening and interview process. Award-winning management consultant Christie Lindor articulates the definitions of diversity and diversity hiring and helps you plan for a bias-free recruitment process, create more diverse recruiting teams for more diverse hiring, and adopt best practices when it comes to candidate screening, interviews, and evaluations. Plus, learn how to make your efforts authentic by understanding the motivational triggers and factors that candidates consider when weighing new roles and opportunities.",Course,2022-07-29 16:13 UTC,N/A,false,N/A,
Python Parallel and Concurrent Programming Part 1,"Parallel programming unlocks a program’s ability to execute multiple instructions simultaneously, increases the overall processing throughput, and is key to writing faster and more efficient applications. Curious about how parallel programming works in the real world? In this course, join instructors Barron and Olivia Stone as they introduce the basics of parallel programming in Python, providing the foundational knowledge you need to write more efficient, performant code. Barron and Olivia explain concepts like threading and mutual exclusion in a fun and informative way, relating them to everyday activities you perform in the kitchen. To cement the ideas, they demo them in action using Python. Each lesson is short and practical, driving home the theory with hands-on techniques.",Course,2020-11-30 18:35 UTC,N/A,false,N/A,
